
========================================
REMBG Batch Summary
========================================
Total PNGs: 132
Success:   131
Failed:    1
Poor edge: 0
Time:      151.2s (2.5min)
Speed:     0.9 img/s
Input:     43.2MB
Output:    39.8MB
========================================

Detail Log:
[OK]   android-16.png: (920, 1227) -> (920, 1227), removed=0.0%, 0.9s
[FAIL] android-17.png: image file is truncated
[OK]   android-19.png: (920, 1707) -> (920, 1707), removed=0.0%, 1.5s
[OK]   android18.png: (920, 949) -> (920, 949), removed=0.0%, 0.8s
[OK]   android_13.png: (900, 1216) -> (900, 1216), removed=0.0%, 1.0s
[OK]   android_15.png: (900, 775) -> (900, 775), removed=0.0%, 1.0s
[OK]   anilaza.png: (900, 555) -> (900, 555), removed=0.0%, 0.9s
[OK]   babidi.png: (920, 1067) -> (920, 1067), removed=0.0%, 1.3s
[OK]   baby.png: (920, 1032) -> (920, 1032), removed=0.0%, 1.1s
[OK]   bardock-dbs.png: (900, 497) -> (900, 497), removed=0.0%, 0.9s
[OK]   bardock.png: (920, 604) -> (920, 604), removed=0.0%, 1.2s
[OK]   beerus.png: (920, 3045) -> (920, 3045), removed=0.0%, 1.0s
[OK]   bojack.png: (920, 902) -> (920, 902), removed=0.0%, 1.1s
[OK]   botamo.png: (900, 1350) -> (900, 1350), removed=0.0%, 0.9s
[OK]   broly.png: (920, 734) -> (920, 734), removed=0.0%, 0.8s
[OK]   bulma.png: (920, 864) -> (920, 864), removed=0.0%, 1.2s
[OK]   burter.png: (920, 1519) -> (920, 1519), removed=0.0%, 1.0s
[OK]   buu.png: (920, 2819) -> (920, 2819), removed=0.0%, 1.0s
[OK]   cabba.png: (920, 920) -> (920, 920), removed=0.0%, 1.2s
[OK]   captain-ginyu.png: (920, 640) -> (920, 640), removed=0.0%, 0.8s
[OK]   caulifla.png: (920, 1200) -> (920, 1200), removed=0.0%, 1.0s
[OK]   cell-juniors.png: (920, 782) -> (920, 782), removed=0.0%, 1.0s
[OK]   cell.png: (920, 1257) -> (920, 1257), removed=0.0%, 1.0s
[OK]   champa.png: (900, 1064) -> (900, 1064), removed=0.0%, 1.2s
[OK]   chiaotzu.png: (900, 2239) -> (900, 2239), removed=0.0%, 1.3s
[OK]   chichi.png: (920, 1139) -> (920, 1139), removed=0.0%, 1.1s
[OK]   cooler.png: (920, 1095) -> (920, 1095), removed=0.0%, 1.4s
[OK]   dabura.png: (920, 1567) -> (920, 1567), removed=0.0%, 1.1s
[OK]   degesu.png: (900, 720) -> (900, 720), removed=0.0%, 1.5s
[OK]   demon-king-piccolo.png: (920, 1007) -> (920, 1007), removed=0.0%, 1.5s
[OK]   dende.png: (900, 1081) -> (900, 1081), removed=0.0%, 1.4s
[OK]   dodoria.png: (920, 1409) -> (920, 1409), removed=0.0%, 1.2s
[OK]   dr-gero.png: (920, 920) -> (920, 920), removed=0.0%, 1.3s
[OK]   dr-wheelo.png: (920, 920) -> (920, 920), removed=0.0%, 1.3s
[OK]   emperor-pilaf.png: (920, 830) -> (920, 830), removed=0.0%, 1.1s
[OK]   frieza.png: (920, 955) -> (920, 955), removed=0.0%, 1.1s
[OK]   future-gohan.png: (900, 1264) -> (900, 1264), removed=0.0%, 1.2s
[OK]   future-trunks.png: (920, 2150) -> (920, 2150), removed=0.0%, 1.0s
[OK]   garlic-jr.png: (920, 1221) -> (920, 1221), removed=0.0%, 1.5s
[OK]   gas.png: (920, 900) -> (920, 900), removed=0.0%, 1.5s
[OK]   general-blue.png: (900, 900) -> (900, 900), removed=0.0%, 1.5s
[OK]   general-rilldo.png: (920, 1073) -> (920, 1073), removed=0.0%, 1.1s
